timestamp,open,close,high,low,volume
1970-01-01 00:28:55.667280,93779,93729,93784,93729,0.25878308
1970-01-01 00:28:55.667340,93729,93668,93729,93600,0.9544487
1970-01-01 00:28:55.667400,93667,93688,93688,93667,0.00623877
1970-01-01 00:28:55.667460,93686,93730,93762,93686,1.00484674
1970-01-01 00:28:55.667520,93730,93769,93769,93730,0.00244934
1970-01-01 00:28:55.667580,93772,94017,94017,93772,1.16454972
1970-01-01 00:28:55.667640,94033,94030,94033,94030,0.00047493000000000004
1970-01-01 00:28:55.667700,94029,94029,94056,94029,0.46683989
1970-01-01 00:28:55.667760,94025,94044,94059,94025,0.31410594
1970-01-01 00:28:55.667820,94044,94124,94228,94044,0.33016705
1970-01-01 00:28:55.667880,94121,94255,94255,94113,0.57459059
1970-01-01 00:28:55.667940,94274,94241,94282,94216,0.59777337
1970-01-01 00:28:55.668000,94233,94215,94251,94215,0.44766847000000004
1970-01-01 00:28:55.668060,94196,94243,94243,94196,0.02339701
1970-01-01 00:28:55.668120,94251,94261,94276,94227,0.30058266
1970-01-01 00:28:55.668180,94262,94159,94262,94159,0.15204674
1970-01-01 00:28:55.668240,94179,94240,94240,94179,0.31994093
1970-01-01 00:28:55.668300,94218,94204,94218,94152,0.01366589
1970-01-01 00:28:55.668360,94221,94311,94311,94221,0.0073083900000000005
1970-01-01 00:28:55.668420,94316,94510,94511,94316,0.48259295
1970-01-01 00:28:55.668480,94471,94369,94474,94369,0.64964298
1970-01-01 00:28:55.668540,94415,94414,94442,94414,1.14394556
1970-01-01 00:28:55.668600,94416,94400,94416,94383,0.81188618
1970-01-01 00:28:55.668660,94400,94352,94410,94352,0.32210001
1970-01-01 00:28:55.668720,94352,94370,94370,94352,0.38054872
1970-01-01 00:28:55.668780,94351,94303,94352,94303,0.5499796499999999
1970-01-01 00:28:55.668840,94307,94334,94334,94307,0.29054614
1970-01-01 00:28:55.668900,94326,94281,94326,94271,0.56917454
1970-01-01 00:28:55.668960,94308,94355,94355,94308,0.86631685
1970-01-01 00:28:55.669020,94370,94355,94403,94355,1.19459157
1970-01-01 00:28:55.669080,94396,94386,94396,94386,0.31389619
1970-01-01 00:28:55.669140,94385,94327,94385,94309,0.57008797
1970-01-01 00:28:55.669200,94340,94258,94340,94258,0.51906664
1970-01-01 00:28:55.669260,94258,94121,94258,94121,0.42829823
1970-01-01 00:28:55.669320,94151,94120,94151,94098,0.84153568
1970-01-01 00:28:55.669380,94102,94036,94102,94036,0.29336439999999997
